
OccupationCode|Skill
17-1022.01|Management of Personnel Resources
11-9199.08|Mathematics
11-9199.10|Social Perceptiveness
13-1041.07|Complex Problem Solving
13-1051.00|Judgment and Decision Making
13-1199.05|Systems Analysis
15-1211.00|Service Orientation
11-1011.03|Operations Analysis
11-3051.01|Social Perceptiveness
11-3061.00|Active Listening
11-3071.00|Quality Control Analysis
11-9179.01|Monitoring
13-1023.00|Time Management
53-5021.00|Equipment Selection
53-7071.00|Operation and Control
53-7081.00|Systems Analysis
51-6062.00|Writing
51-8093.00|Operations Analysis
51-9082.00|Social Perceptiveness
51-9141.00|Active Listening
53-1041.00|Systems Evaluation
53-3031.00|Monitoring
49-9096.00|Negotiation
51-3011.00|Systems Analysis
51-4081.00|Mathematics
51-4191.00|Troubleshooting
51-4192.00|Operations Monitoring
51-6042.00|Reading Comprehension
47-5013.00|Social Perceptiveness
49-2022.00|Judgment and Decision Making
49-9011.00|Speaking
49-9044.00|Installation
49-9061.00|Equipment Selection
49-9081.00|Management of Material Resources
47-2044.00|Complex Problem Solving
47-2051.00|Reading Comprehension
47-2072.00|Writing
47-2152.00|Critical Thinking
47-4091.00|Service Orientation
47-5012.00|Persuasion
43-5041.00|Learning Strategies
43-5071.00|Technology Design
45-2021.00|Operation and Control
45-3031.00|Mathematics
45-4023.00|Troubleshooting
47-2022.00|Coordination
41-2011.00|Management of Personnel Resources
41-2012.00|Judgment and Decision Making
43-4071.00|Monitoring
43-4081.00|Management of Material Resources
43-4151.00|Negotiation
43-5011.01|Time Management
35-2015.00|Complex Problem Solving
35-9031.00|Operations Monitoring
37-2012.00|Instructing
39-4031.00|Service Orientation
39-5092.00|Persuasion
39-9041.00|Active Learning
31-2012.00|Time Management
31-9091.00|Learning Strategies
31-9096.00|Technology Design
33-3031.00|Operation and Control
35-1011.00|Programming
35-1012.00|Coordination
29-1229.02|Active Learning
29-1229.06|Management of Personnel Resources
29-1292.00|Social Perceptiveness
29-2011.01|Active Listening
29-2011.02|Quality Control Analysis
29-2055.00|Systems Evaluation
29-1023.00|Operations Monitoring
29-1051.00|Instructing
29-1123.00|Reading Comprehension
29-1127.00|Writing
29-1141.00|Science
29-1221.00|Operations Analysis
25-1193.00|Systems Evaluation
25-3011.00|Speaking
27-2023.00|Systems Analysis
27-3043.00|Programming
27-4032.00|Mathematics
29-1022.00|Troubleshooting
25-1051.00|Service Orientation
25-1061.00|Persuasion
25-1062.00|Social Perceptiveness
25-1067.00|Active Listening
25-1111.00|Management of Financial Resources
25-1122.00|Judgment and Decision Making
19-4013.00|Troubleshooting
19-4051.00|Coordination
19-4099.01|Reading Comprehension
21-1011.00|Writing
21-1092.00|Critical Thinking
23-2011.00|Operations Analysis
19-1012.00|Monitoring
19-1013.00|Management of Material Resources
19-1029.01|Negotiation
19-1031.03|Time Management
19-2032.00|Technology Design
19-2041.00|Systems Analysis
17-2111.00|Active Learning
17-2111.02|Management of Financial Resources
17-2112.02|Management of Personnel Resources
17-2112.03|Judgment and Decision Making
17-2199.05|Quality Control Analysis
17-3022.00|Speaking
15-1244.00|Operations Monitoring
15-1255.01|Critical Thinking
15-2041.01|Science
17-1021.00|Service Orientation
17-2021.00|Persuasion
17-2061.00|Equipment Maintenance
13-1041.01|Learning Strategies
13-1041.08|Technology Design
13-1081.01|Repairing
13-2081.00|Programming
13-2082.00|Coordination
15-1211.01|Complex Problem Solving
11-1021.00|Troubleshooting
11-3031.00|Complex Problem Solving
11-3061.00|Time Management
11-3121.00|Learning Strategies
11-9033.00|Systems Analysis
11-9121.00|Operations Analysis
53-5021.00|Coordination
53-7063.00|Critical Thinking
51-9061.00|Complex Problem Solving
51-9141.00|Time Management
51-9191.00|Learning Strategies
51-9193.00|Instructing
53-1043.00|Operations Analysis
53-3033.00|Service Orientation
51-5112.00|Management of Financial Resources
51-6031.00|Judgment and Decision Making
51-6042.00|Technology Design
51-6093.00|Quality Control Analysis
51-8011.00|Operation and Control
51-9041.00|Management of Material Resources
49-9081.00|Management of Personnel Resources
49-9099.01|Operations Monitoring
51-3023.00|Speaking
51-4022.00|Science
51-4052.00|Monitoring
51-4191.00|Equipment Maintenance
47-5071.00|Learning Strategies
49-2095.00|Repairing
49-3091.00|Service Orientation
49-9012.00|Persuasion
49-9061.00|Coordination
49-9063.00|Active Learning
47-2022.00|Equipment Selection
47-2071.00|Social Perceptiveness
47-2121.00|Quality Control Analysis
47-2171.00|Operation and Control
47-3012.00|Systems Evaluation
47-5043.00|Time Management
43-4081.00|Management of Personnel Resources
43-5011.01|Active Listening
43-5071.00|Reading Comprehension
43-6013.00|Writing
45-2041.00|Monitoring
45-4023.00|Equipment Maintenance
39-5094.00|Mathematics
39-7012.00|Troubleshooting
41-2011.00|Management of Material Resources
43-1011.00|Systems Analysis
43-3061.00|Operations Analysis
43-4041.00|Active Learning
33-9021.00|Speaking
35-3023.00|Social Perceptiveness
35-3031.00|Negotiation
37-2012.00|Management of Financial Resources
37-3012.00|Judgment and Decision Making
39-2011.00|Systems Evaluation
31-1121.00|Persuasion
31-2012.00|Active Listening
31-9011.00|Coordination
31-9096.00|Reading Comprehension
31-9099.02|Writing
33-3021.00|Critical Thinking
29-1216.00|Mathematics
29-1222.00|Troubleshooting
29-1229.06|Management of Material Resources
29-2011.01|Time Management
29-2061.00|Operations Analysis
29-9092.00|Service Orientation
29-1022.00|Equipment Maintenance
29-1051.00|Management of Financial Resources
29-1122.00|Judgment and Decision Making
29-1123.00|Technology Design
29-1131.00|Quality Control Analysis
29-1181.00|Operation and Control
25-9021.00|Coordination
27-1024.00|Operations Monitoring
27-2012.00|Critical Thinking
27-2041.00|Speaking
27-3031.00|Science
27-4012.00|Monitoring
25-1052.00|Complex Problem Solving
25-1067.00|Time Management
25-1081.00|Learning Strategies
25-1111.00|Instructing
25-2058.00|Service Orientation
25-3021.00|Persuasion
19-4013.00|Equipment Maintenance
19-4051.00|Equipment Selection
19-4099.01|Technology Design
19-5012.00|Social Perceptiveness
23-1021.00|Systems Evaluation
25-1031.00|Programming
19-1031.00|Operations Monitoring
19-1031.03|Active Listening
19-2032.00|Reading Comprehension
19-2041.03|Writing
19-3011.01|Science
19-3051.00|Monitoring
17-2061.00|Troubleshooting
17-2111.02|Instructing
17-2112.02|Management of Material Resources
17-3013.00|Systems Analysis
17-3029.08|Active Learning
19-1013.00|Management of Personnel Resources
15-1232.00|Social Perceptiveness
15-1241.01|Negotiation
15-1299.02|Judgment and Decision Making
15-1299.08|Systems Evaluation
15-2051.02|Programming
17-2041.00|Mathematics
11-9199.09|Persuasion
13-1023.00|Active Listening
13-1041.08|Reading Comprehension
13-1075.00|Writing
13-1161.01|Critical Thinking
13-2031.00|Speaking
11-2011.00|Programming
11-2021.00|Time Management
11-3031.01|Technology Design
11-9041.01|Writing
11-9051.00|Monitoring
11-9071.00|Management of Material Resources
53-7073.00|Repairing
51-9197.00|Systems Analysis
51-9198.00|Monitoring
53-3033.00|Systems Evaluation
53-6051.01|Social Perceptiveness
53-6051.07|Operation and Control
53-7072.00|Negotiation
51-6031.00|Mathematics
51-7032.00|Equipment Maintenance
51-8021.00|Management of Personnel Resources
51-8099.01|Critical Thinking
51-9011.00|Programming
51-9197.00|Writing
51-2092.00|Negotiation
51-4033.00|Troubleshooting
51-4034.00|Operations Monitoring
51-4062.00|Speaking
51-4194.00|Active Listening
51-4194.00|Equipment Selection
49-2093.00|Systems Analysis
49-3011.00|Active Learning
49-3021.00|Management of Financial Resources
49-9092.00|Persuasion
49-9094.00|Reading Comprehension
49-9094.00|Social Perceptiveness
47-2142.00|Operations Analysis
47-2151.00|Equipment Maintenance
47-3016.00|Instructing
47-5051.00|Coordination
49-2092.00|Technology Design
49-2093.00|Writing
43-4121.00|Complex Problem Solving
43-4131.00|Reading Comprehension
45-2091.00|Repairing
45-2092.00|Speaking
45-2092.00|Service Orientation
47-2141.00|Learning Strategies
39-9031.00|Time Management
41-2022.00|Technology Design
41-4011.00|Active Learning
43-3021.00|Management of Material Resources
43-4111.00|Systems Evaluation
43-4121.00|Persuasion
37-1012.00|Learning Strategies
37-1012.00|Quality Control Analysis
37-2011.00|Operations Analysis
37-3012.00|Mathematics
39-5094.00|Judgment and Decision Making
39-9031.00|Coordination
29-9093.00|Complex Problem Solving
31-9099.01|Social Perceptiveness
31-9099.02|Operation and Control
33-3041.00|Negotiation
33-3051.04|Service Orientation
37-1011.00|Equipment Selection
29-1223.00|Critical Thinking
29-1224.00|Programming
29-2051.00|Writing
29-2052.00|Monitoring
29-2053.00|Management of Material Resources
29-9092.00|Systems Evaluation
27-2021.00|Negotiation
27-3091.00|Operations Monitoring
29-1031.00|Quality Control Analysis
29-1122.00|Mathematics
29-1215.00|Management of Personnel Resources
29-1216.00|Judgment and Decision Making
25-1126.00|Monitoring
25-2011.00|Active Learning
27-1012.00|Persuasion
27-1013.00|Reading Comprehension
27-1013.00|Social Perceptiveness
27-1014.00|Operation and Control
21-1023.00|Learning Strategies
23-1012.00|Management of Personnel Resources
23-2093.00|Instructing
25-1072.00|Coordination
25-1125.00|Writing
25-1125.00|Systems Analysis
19-1022.00|Persuasion
19-1022.00|Complex Problem Solving
19-1023.00|Reading Comprehension
19-3092.00|Speaking
19-3092.00|Service Orientation
19-4042.00|Active Listening
17-2072.01|Coordination
17-2072.01|Time Management
17-2131.00|Technology Design
17-2141.00|Systems Analysis
17-3024.00|Management of Material Resources
19-1021.00|Systems Evaluation
15-1253.00|Learning Strategies
15-1253.00|Quality Control Analysis
15-1254.00|Operations Analysis
15-2031.00|Instructing
17-2041.00|Judgment and Decision Making
17-2072.00|Programming
11-9199.01|Complex Problem Solving
13-1074.00|Social Perceptiveness
13-1075.00|Operation and Control
13-1151.00|Science
13-1199.06|Negotiation
13-2011.00|Service Orientation
11-2021.00|Active Listening
11-3021.00|Systems Evaluation
11-3031.01|Reading Comprehension
11-3131.00|Operations Analysis
11-9071.00|Management of Personnel Resources
11-9121.01|Instructing
53-7041.00|Active Learning
53-7061.00|Learning Strategies
51-8021.00|Management of Material Resources
51-9051.00|Systems Evaluation
51-9192.00|Operations Analysis
53-2011.00|Science
53-3032.00|Repairing
53-6051.01|Technology Design
51-4081.00|Judgment and Decision Making
51-4194.00|Coordination
51-4194.00|Time Management
51-7032.00|Troubleshooting
51-8013.03|Speaking
51-8013.03|Service Orientation
49-9094.00|Technology Design
51-1011.00|Active Learning
51-2021.00|Learning Strategies
51-2021.00|Quality Control Analysis
51-4071.00|Persuasion
51-4071.00|Complex Problem Solving
49-2092.00|Social Perceptiveness
49-3021.00|Instructing
49-3023.00|Science
49-3053.00|Repairing
49-9021.00|Management of Personnel Resources
49-9052.00|Programming
47-2221.00|Service Orientation
47-3011.00|Management of Material Resources
47-3016.00|Management of Financial Resources
47-4091.00|Systems Evaluation
47-5051.00|Equipment Selection
49-2022.00|Mathematics
43-5021.00|Quality Control Analysis
43-6014.00|Monitoring
47-1011.03|Time Management
47-2072.00|Operation and Control
47-2181.00|Negotiation
47-2221.00|Writing
41-2012.00|Mathematics
41-2022.00|Reading Comprehension
41-2022.00|Social Perceptiveness
43-3021.00|Management of Personnel Resources
43-4011.00|Programming
43-4031.00|Operations Monitoring
37-3013.00|Negotiation
39-1013.00|Writing
39-1013.00|Systems Analysis
39-5091.00|Speaking
39-9031.00|Active Listening
39-9031.00|Equipment Selection
33-2011.00|Active Learning
33-2022.00|Learning Strategies
33-9093.00|Critical Thinking
35-3011.00|Persuasion
35-3023.01|Operation and Control
37-1011.00|Coordination
29-1213.00|Speaking
29-1213.00|Service Orientation
29-1215.00|Management of Material Resources
29-1241.00|Systems Evaluation
29-2031.00|Operations Analysis
33-1011.00|Monitoring
27-1027.00|Quality Control Analysis
27-4021.00|Persuasion
27-4021.00|Complex Problem Solving
27-4032.00|Judgment and Decision Making
29-1124.00|Systems Analysis
29-1141.04|Troubleshooting
25-2012.00|Instructing
25-2022.00|Science
25-4031.00|Programming
27-1013.00|Technology Design
27-1025.00|Active Learning
27-1027.00|Learning Strategies
21-2011.00|Negotiation
23-2093.00|Management of Financial Resources
25-1051.00|Systems Evaluation
25-1082.00|Operations Analysis
25-1122.00|Mathematics
25-1124.00|Social Perceptiveness
19-1032.00|Quality Control Analysis
19-2042.00|Monitoring
19-3093.00|Complex Problem Solving
19-4021.00|Critical Thinking
19-4042.00|Time Management
21-1011.00|Operation and Control
17-2131.00|Reading Comprehension
17-2131.00|Social Perceptiveness
17-2199.06|Science
17-3024.00|Management of Personnel Resources
17-3029.01|Operations Monitoring
19-1023.00|Technology Design
15-1299.03|Negotiation
15-2031.00|Management of Financial Resources
17-2011.00|Speaking
17-2072.01|Active Listening
17-2072.01|Equipment Selection
17-2112.03|Mathematics
11-9151.00|Operations Monitoring
13-1081.00|Monitoring
13-1121.00|Active Learning
13-1141.00|Learning Strategies
15-1231.00|Persuasion
15-1241.00|Operation and Control
11-2022.00|Operations Monitoring
11-3131.00|Science
11-9041.01|Service Orientation
11-9199.02|Management of Personnel Resources
11-9199.08|Judgment and Decision Making
13-1022.00|Programming
53-4031.00|Programming
53-5021.00|Active Listening
53-5022.00|Quality Control Analysis
53-6041.00|Mathematics
53-7081.00|Writing
53-7121.00|Monitoring
51-9141.00|Equipment Selection
51-9192.00|Science
51-9195.05|Negotiation
51-9196.00|Repairing
53-2012.00|Equipment Maintenance
53-3052.00|Management of Personnel Resources
51-6042.00|Social Perceptiveness
51-6051.00|Operation and Control
51-6062.00|Systems Analysis
51-7011.00|Management of Financial Resources
51-9021.00|Operations Monitoring
51-9051.00|Speaking
49-9091.00|Mathematics
51-2011.00|Coordination
51-3011.00|Writing
51-4031.00|Critical Thinking
51-4032.00|Installation
51-6041.00|Persuasion
47-4091.00|Speaking
47-5013.00|Reading Comprehension
49-2091.00|Negotiation
49-3022.00|Learning Strategies
49-3031.00|Equipment Maintenance
49-9061.00|Active Listening
47-2044.00|Persuasion
47-2071.00|Technology Design
47-2072.00|Systems Analysis
47-2131.00|Active Learning
47-2132.00|Management of Financial Resources
47-4011.01|Troubleshooting
41-9011.00|Operations Analysis
43-4141.00|Judgment and Decision Making
43-5011.00|Programming
43-5011.01|Coordination
43-9061.00|Instructing
43-9071.00|Critical Thinking
35-1012.00|Time Management
35-3023.00|Technology Design
39-3091.00|Troubleshooting
39-5091.00|Systems Evaluation
39-5092.00|Complex Problem Solving
41-4012.00|Learning Strategies
31-9091.00|Quality Control Analysis
31-9097.00|Mathematics
33-2021.00|Instructing
33-3051.04|Writing
33-3052.00|Monitoring
33-9011.00|Management of Material Resources
29-2011.01|Equipment Selection
29-2031.00|Science
29-2051.00|Service Orientation
29-2092.00|Equipment Maintenance
29-9099.01|Judgment and Decision Making
31-2011.00|Programming
29-1123.00|Social Perceptiveness
29-1124.00|Operation and Control
29-1141.01|Management of Financial Resources
29-1213.00|Systems Evaluation
29-1229.01|Operations Monitoring
29-1241.00|Speaking
27-1026.00|Coordination
27-2023.00|Writing
27-2031.00|Monitoring
27-3042.00|Critical Thinking
27-3043.05|Time Management
29-1122.01|Persuasion
25-1123.00|Negotiation
25-2021.00|Learning Strategies
25-2059.01|Management of Personnel Resources
25-9021.00|Active Listening
25-9031.00|Quality Control Analysis
27-1011.00|Mathematics
21-1011.00|Systems Analysis
21-1021.00|Active Learning
21-1022.00|Management of Financial Resources
25-1021.00|Troubleshooting
25-1051.00|Speaking
25-1062.00|Reading Comprehension
17-3021.00|Repairing
17-3022.00|Service Orientation
19-1031.03|Coordination
19-3022.00|Instructing
19-3032.00|Critical Thinking
19-3094.00|Management of Material Resources
15-1241.00|Systems Analysis
15-1251.00|Active Learning
17-2011.00|Systems Evaluation
17-2021.00|Complex Problem Solving
17-2031.00|Reading Comprehension
17-2199.05|Learning Strategies
13-1041.01|Quality Control Analysis
13-1131.00|Instructing
13-2011.00|Writing
13-2023.00|Management of Material Resources
13-2082.00|Time Management
15-1232.00|Technology Design
11-3031.00|Persuasion
11-3031.03|Judgment and Decision Making
11-3061.00|Coordination
11-3071.04|Active Learning
11-9121.02|Critical Thinking
11-9141.00|Troubleshooting
53-7062.00|Operations Analysis
51-9191.00|Quality Control Analysis
53-2012.00|Troubleshooting
53-3033.00|Speaking
53-3052.00|Management of Material Resources
53-6051.07|Systems Analysis
53-7051.00|Management of Financial Resources
51-8013.00|Repairing
51-9061.00|Persuasion
51-9071.06|Judgment and Decision Making
51-9082.00|Technology Design
51-9141.00|Coordination
51-9161.00|Active Learning
51-3023.00|Service Orientation
51-4062.00|Systems Evaluation
51-4072.00|Management of Personnel Resources
51-6093.00|Learning Strategies
51-7011.00|Instructing
51-7031.00|Science
49-2093.00|Operation and Control
49-3091.00|Writing
49-3093.00|Management of Material Resources
49-9012.00|Complex Problem Solving
49-9061.00|Time Management
51-2011.00|Equipment Selection
47-2132.00|Instructing
47-2211.00|Repairing
47-2231.00|Monitoring
47-4011.01|Equipment Maintenance
47-5013.00|Technology Design
47-5071.00|Quality Control Analysis
43-6011.00|Negotiation
43-9061.00|Management of Financial Resources
45-2092.00|Systems Evaluation
47-2011.00|Operations Monitoring
47-2022.00|Active Listening
47-2053.00|Mathematics
41-2031.00|Operation and Control
41-4011.07|Coordination
43-1011.00|Writing
43-4021.00|Time Management
43-4111.00|Speaking
43-5071.00|Social Perceptiveness
35-1012.00|Active Listening
35-2021.00|Mathematics
35-3023.00|Reading Comprehension
39-3021.00|Learning Strategies
39-3091.00|Equipment Maintenance
41-2021.00|Persuasion
29-2081.00|Critical Thinking
29-2092.00|Troubleshooting
29-9092.00|Speaking
31-9099.02|Systems Analysis
33-2021.00|Management of Financial Resources
33-9099.02|Operations Monitoring
27-2041.00|Service Orientation
27-4031.00|Reading Comprehension
29-1024.00|Programming
29-1131.00|Learning Strategies
29-1141.01|Instructing
29-2011.01|Coordination
25-2059.01|Management of Material Resources
25-3021.00|Complex Problem Solving
25-9021.00|Time Management
27-1014.00|Systems Analysis
27-1026.00|Equipment Selection
27-2022.00|Social Perceptiveness
25-1021.00|Equipment Maintenance
25-1054.00|Judgment and Decision Making
25-1062.00|Technology Design
25-1071.00|Active Learning
25-2023.00|Troubleshooting
25-2058.00|Writing
19-3094.00|Management of Personnel Resources
19-4031.00|Programming
19-4043.00|Operations Monitoring
19-4099.03|Mathematics
21-1022.00|Instructing
23-1011.00|Monitoring
19-1031.03|Equipment Selection
19-2032.00|Social Perceptiveness
19-2041.01|Negotiation
19-2041.03|Service Orientation
19-3022.00|Management of Financial Resources
19-3092.00|Systems Evaluation
17-2081.00|Quality Control Analysis
17-2121.00|Persuasion
17-2141.00|Operation and Control
17-3013.00|Writing
17-3023.00|Complex Problem Solving
17-3027.01|Critical Thinking
13-2072.00|Operations Monitoring
13-2082.00|Active Listening
15-1221.00|Mathematics
15-1232.00|Reading Comprehension
15-1254.00|Science
17-2031.00|Technology Design
11-9199.02|Management of Material Resources
13-1071.00|Negotiation
13-1075.00|Systems Analysis
13-1131.00|Management of Financial Resources
13-1151.00|Operations Analysis
13-2023.00|Management of Personnel Resources
11-3012.00|Quality Control Analysis
11-3111.00|Persuasion
11-9032.00|Social Perceptiveness
11-9121.01|Negotiation
11-9171.00|Time Management
11-9199.10|Technology Design
53-2031.00|Time Management
53-5011.00|Speaking
53-7021.00|Monitoring
53-7021.00|Equipment Selection
53-7062.04|Management of Material Resources
51-9071.06|Operations Analysis
51-9162.00|Persuasion
51-9195.03|Social Perceptiveness
51-9195.03|Equipment Maintenance
53-1042.01|Management of Personnel Resources
53-2021.00|Judgment and Decision Making
51-6052.00|Troubleshooting
51-6061.00|Coordination
51-8011.00|Writing
51-8011.00|Operations Monitoring
51-8031.00|Active Learning
51-9031.00|Quality Control Analysis
49-9045.00|Negotiation
49-9064.00|Repairing
51-2023.00|Management of Material Resources
51-3023.00|Learning Strategies
51-4111.00|Instructing
51-4122.00|Operation and Control
47-3012.00|Active Learning
49-1011.00|Systems Evaluation
49-2021.00|Equipment Maintenance
49-2098.00|Management of Personnel Resources
49-3041.00|Judgment and Decision Making
49-3091.00|Installation
43-9051.00|Mathematics
45-4011.00|Instructing
45-4011.00|Complex Problem Solving
47-1011.03|Reading Comprehension
47-2053.00|Critical Thinking
47-2171.00|Operations Monitoring
41-2031.00|Operations Analysis
41-9012.00|Persuasion
43-3071.00|Negotiation
43-4161.00|Technology Design
43-5021.00|Systems Analysis
43-9031.00|Equipment Selection
37-2021.00|Science
39-2011.00|Service Orientation
39-4031.00|Writing
39-5011.00|Active Listening
39-5012.00|Management of Financial Resources
41-1011.00|Systems Evaluation
31-1122.00|Technology Design
31-2021.00|Systems Analysis
31-2022.00|Speaking
33-3012.00|Management of Material Resources
33-9031.00|Complex Problem Solving
35-2021.00|Critical Thinking
29-1216.00|Active Learning
29-1229.04|Quality Control Analysis
29-2012.00|Persuasion
29-2035.00|Social Perceptiveness
29-2057.00|Management of Personnel Resources
29-2099.05|Time Management
29-1021.00|Operation and Control
29-1071.01|Science
29-1125.00|Troubleshooting
29-1126.00|Coordination
29-1127.00|Service Orientation
29-1181.00|Writing
25-1112.00|Systems Evaluation
25-2031.00|Judgment and Decision Making
25-2051.00|Time Management
25-4031.00|Speaking
27-1023.00|Monitoring
27-2041.00|Learning Strategies
19-3099.01|Instructing
19-4012.01|Operation and Control
19-5012.00|Coordination
23-1021.00|Active Learning
25-1041.00|Quality Control Analysis
25-1052.00|Active Listening
17-2112.00|Systems Evaluation
17-3027.00|Negotiation
19-1029.04|Monitoring
19-1032.00|Systems Analysis
19-2041.03|Learning Strategies
19-3011.01|Mathematics
15-1243.00|Programming
