
OccupationCode|EducationLevel
11-9032.00|Bachelor's Degree
11-9032.00|High School Diploma - or the equivalent (for example, GED)
11-9032.00|Master's Degree
11-9032.00|Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.
11-9033.00|Bachelor's Degree
11-9033.00|Doctoral Degree
11-9033.00|Master's Degree
11-9033.00|Post-Doctoral Training
11-9041.00|Bachelor's Degree
11-9041.00|First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.
11-9041.00|Master's Degree
11-9041.00|Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.
11-9041.01|Associate's Degree (or other 2-year degree)
11-9041.01|Bachelor's Degree
11-9041.01|Master's Degree
11-9051.00|High School Diploma - or the equivalent (for example, GED)
11-9051.00|Less than a High School Diploma
11-9051.00|Some College Courses
11-9071.00|Associate's Degree (or other 2-year degree)
11-9071.00|Bachelor's Degree
11-9071.00|High School Diploma - or the equivalent (for example, GED)
11-9071.00|Less than a High School Diploma
11-9071.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
11-9071.00|Some College Courses
11-9081.00|Bachelor's Degree
11-9081.00|Some College Courses
11-9121.00|Associate's Degree (or other 2-year degree)
11-9121.00|Bachelor's Degree
11-9121.00|Doctoral Degree
11-9121.00|Master's Degree
11-9121.00|Post-Doctoral Training
11-9121.01|Associate's Degree (or other 2-year degree)
11-9121.01|Bachelor's Degree
11-9121.01|High School Diploma - or the equivalent (for example, GED)
11-9121.01|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
11-9121.01|Some College Courses
11-9131.00|Associate's Degree (or other 2-year degree)
11-9131.00|Bachelor's Degree
11-9131.00|High School Diploma - or the equivalent (for example, GED)
11-9131.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
11-9131.00|Some College Courses
11-9151.00|Associate's Degree (or other 2-year degree)
11-9151.00|Bachelor's Degree
11-9151.00|High School Diploma - or the equivalent (for example, GED)
11-9151.00|Master's Degree
11-9151.00|Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.
11-9171.00|Associate's Degree (or other 2-year degree)
11-9171.00|Bachelor's Degree
11-9171.00|First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.
11-9171.00|High School Diploma - or the equivalent (for example, GED)
11-9171.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
11-9179.02|Associate's Degree (or other 2-year degree)
11-9179.02|High School Diploma - or the equivalent (for example, GED)
11-9199.02|Associate's Degree (or other 2-year degree)
11-9199.02|Bachelor's Degree
11-9199.02|High School Diploma - or the equivalent (for example, GED)
11-9199.02|Master's Degree
11-9199.02|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
11-9199.09|Associate's Degree (or other 2-year degree)
11-9199.09|Bachelor's Degree
11-9199.09|High School Diploma - or the equivalent (for example, GED)
11-9199.09|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
11-9199.10|Associate's Degree (or other 2-year degree)
11-9199.10|Bachelor's Degree
11-9199.10|Master's Degree
13-1011.00|Bachelor's Degree
13-1011.00|High School Diploma - or the equivalent (for example, GED)
13-1011.00|Master's Degree
13-1021.00|Associate's Degree (or other 2-year degree)
13-1021.00|Bachelor's Degree
13-1021.00|High School Diploma - or the equivalent (for example, GED)
13-1021.00|Some College Courses
13-1022.00|Associate's Degree (or other 2-year degree)
13-1022.00|Bachelor's Degree
13-1022.00|High School Diploma - or the equivalent (for example, GED)
13-1022.00|Less than a High School Diploma
13-1022.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
13-1022.00|Some College Courses
13-1031.00|Associate's Degree (or other 2-year degree)
13-1031.00|Bachelor's Degree
13-1031.00|High School Diploma - or the equivalent (for example, GED)
13-1031.00|Some College Courses
13-1032.00|Associate's Degree (or other 2-year degree)
13-1032.00|High School Diploma - or the equivalent (for example, GED)
13-1032.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
13-1032.00|Some College Courses
13-1041.03|Bachelor's Degree
13-1041.03|Master's Degree
13-1041.03|Some College Courses
13-1041.04|Associate's Degree (or other 2-year degree)
13-1041.04|Bachelor's Degree
13-1041.04|High School Diploma - or the equivalent (for example, GED)
13-1041.04|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
13-1041.04|Some College Courses
13-1071.00|Associate's Degree (or other 2-year degree)
13-1071.00|Bachelor's Degree
13-1071.00|High School Diploma - or the equivalent (for example, GED)
13-1074.00|Some College Courses
13-1121.00|Associate's Degree (or other 2-year degree)
13-1121.00|Bachelor's Degree
13-1121.00|High School Diploma - or the equivalent (for example, GED)
13-1121.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
13-1199.06|Associate's Degree (or other 2-year degree)
13-1199.06|Bachelor's Degree
13-1199.06|High School Diploma - or the equivalent (for example, GED)
13-1199.06|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
13-1199.06|Some College Courses
13-2031.00|Associate's Degree (or other 2-year degree)
13-2031.00|Bachelor's Degree
13-2031.00|High School Diploma - or the equivalent (for example, GED)
13-2031.00|Master's Degree
13-2072.00|Associate's Degree (or other 2-year degree)
13-2072.00|Bachelor's Degree
13-2072.00|High School Diploma - or the equivalent (for example, GED)
13-2072.00|Some College Courses
13-2081.00|Associate's Degree (or other 2-year degree)
13-2081.00|Bachelor's Degree
13-2081.00|High School Diploma - or the equivalent (for example, GED)
13-2081.00|Some College Courses
15-1211.00|Associate's Degree (or other 2-year degree)
15-1211.00|Bachelor's Degree
15-1211.00|Master's Degree
15-1211.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
15-1211.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
15-1212.00|Associate's Degree (or other 2-year degree)
15-1212.00|Bachelor's Degree
15-1212.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
15-1212.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
15-1221.00|Doctoral Degree
15-1221.00|Master's Degree
15-1221.00|Some College Courses
15-1231.00|Associate's Degree (or other 2-year degree)
15-1231.00|Bachelor's Degree
15-1231.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
15-1231.00|Some College Courses
15-1232.00|Associate's Degree (or other 2-year degree)
15-1232.00|High School Diploma - or the equivalent (for example, GED)
15-1232.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
15-1232.00|Some College Courses
15-1242.00|Associate's Degree (or other 2-year degree)
15-1242.00|Bachelor's Degree
15-1242.00|First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.
15-1244.00|Associate's Degree (or other 2-year degree)
15-1244.00|Bachelor's Degree
15-1244.00|Master's Degree
15-1244.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
15-1244.00|Some College Courses
15-1251.00|Associate's Degree (or other 2-year degree)
15-1251.00|Bachelor's Degree
15-2099.01|Bachelor's Degree
15-2099.01|Master's Degree
17-1021.00|Associate's Degree (or other 2-year degree)
17-1021.00|Bachelor's Degree
17-1021.00|Master's Degree
17-1021.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
17-1021.00|Some College Courses
17-2011.00|Associate's Degree (or other 2-year degree)
17-2011.00|Bachelor's Degree
17-2011.00|Master's Degree
17-2071.00|Bachelor's Degree
17-2071.00|Master's Degree
17-2072.00|Associate's Degree (or other 2-year degree)
17-2072.00|Bachelor's Degree
17-2072.01|Associate's Degree (or other 2-year degree)
17-2072.01|Bachelor's Degree
17-2072.01|High School Diploma - or the equivalent (for example, GED)
17-2072.01|Master's Degree
17-2112.00|Bachelor's Degree
17-2112.00|High School Diploma - or the equivalent (for example, GED)
17-2112.00|Master's Degree
17-2112.00|Some College Courses
17-2141.00|Associate's Degree (or other 2-year degree)
17-2141.00|Bachelor's Degree
17-2151.00|Bachelor's Degree
17-2151.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
17-2171.00|Bachelor's Degree
17-2171.00|High School Diploma - or the equivalent (for example, GED)
17-2171.00|Master's Degree
17-2199.05|Associate's Degree (or other 2-year degree)
17-2199.05|Bachelor's Degree
17-2199.05|Some College Courses
17-2199.06|Bachelor's Degree
17-2199.06|Doctoral Degree
17-2199.06|Master's Degree
17-2199.06|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
17-2199.10|Bachelor's Degree
17-2199.10|Master's Degree
17-2199.10|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
17-3012.00|Associate's Degree (or other 2-year degree)
17-3012.00|Bachelor's Degree
17-3012.00|High School Diploma - or the equivalent (for example, GED)
17-3012.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
17-3012.00|Some College Courses
17-3013.00|Associate's Degree (or other 2-year degree)
17-3013.00|Bachelor's Degree
17-3013.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
17-3013.00|Some College Courses
17-3021.00|Bachelor's Degree
17-3021.00|High School Diploma - or the equivalent (for example, GED)
17-3021.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
17-3022.00|Associate's Degree (or other 2-year degree)
17-3022.00|Bachelor's Degree
17-3022.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
17-3022.00|Some College Courses
17-3024.00|Associate's Degree (or other 2-year degree)
17-3024.00|Bachelor's Degree
17-3024.00|High School Diploma - or the equivalent (for example, GED)
17-3024.00|Master's Degree
17-3024.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
17-3024.00|Some College Courses
17-3025.00|Bachelor's Degree
17-3025.00|High School Diploma - or the equivalent (for example, GED)
17-3025.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
17-3025.00|Some College Courses
17-3026.00|Bachelor's Degree
17-3026.00|High School Diploma - or the equivalent (for example, GED)
17-3026.00|Less than a High School Diploma
17-3026.00|Some College Courses
17-3027.00|Associate's Degree (or other 2-year degree)
17-3027.00|Bachelor's Degree
17-3027.00|High School Diploma - or the equivalent (for example, GED)
17-3027.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
17-3027.00|Some College Courses
19-1023.00|Bachelor's Degree
19-1023.00|Doctoral Degree
19-1023.00|Master's Degree
19-1029.01|Doctoral Degree
19-1029.01|Master's Degree
19-1029.01|Post-Doctoral Training
19-1029.04|Bachelor's Degree
19-1029.04|Master's Degree
19-1029.04|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
19-1031.02|Associate's Degree (or other 2-year degree)
19-1031.02|Bachelor's Degree
19-1031.02|Master's Degree
19-1031.03|Bachelor's Degree
19-1031.03|Master's Degree
19-1032.00|Associate's Degree (or other 2-year degree)
19-1032.00|Bachelor's Degree
19-1032.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
19-1032.00|Some College Courses
19-1042.00|Bachelor's Degree
19-1042.00|Doctoral Degree
19-1042.00|Master's Degree
19-1042.00|Post-Doctoral Training
19-1042.00|Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.
19-2012.00|Doctoral Degree
19-2012.00|Post-Doctoral Training
19-2012.00|Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.
19-2031.00|Bachelor's Degree
19-2031.00|Master's Degree
19-2041.00|Bachelor's Degree
19-2041.00|Master's Degree
19-3032.00|Doctoral Degree
19-3032.00|Master's Degree
19-3032.00|Post-Doctoral Training
19-3033.00|Doctoral Degree
19-3033.00|Master's Degree
19-3033.00|Post-Doctoral Training
19-3034.00|Master's Degree
19-3034.00|Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.
19-3093.00|Bachelor's Degree
19-3093.00|High School Diploma - or the equivalent (for example, GED)
19-3093.00|Less than a High School Diploma
19-3093.00|Master's Degree
19-3093.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
19-3093.00|Some College Courses
19-4012.00|Associate's Degree (or other 2-year degree)
19-4012.00|Bachelor's Degree
19-4012.00|Master's Degree
19-4012.00|Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.
19-4013.00|Associate's Degree (or other 2-year degree)
19-4013.00|Bachelor's Degree
19-4013.00|High School Diploma - or the equivalent (for example, GED)
19-4013.00|Master's Degree
19-4013.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
19-4013.00|Some College Courses
19-4021.00|Bachelor's Degree
19-4021.00|Master's Degree
19-4021.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
19-4031.00|High School Diploma - or the equivalent (for example, GED)
19-4031.00|Some College Courses
19-4051.02|Associate's Degree (or other 2-year degree)
19-4051.02|Bachelor's Degree
19-4051.02|High School Diploma - or the equivalent (for example, GED)
19-4051.02|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
19-4051.02|Some College Courses
19-4061.00|Bachelor's Degree
19-4061.00|Master's Degree
19-4061.00|Some College Courses
19-4071.00|Associate's Degree (or other 2-year degree)
19-4071.00|Bachelor's Degree
19-4071.00|High School Diploma - or the equivalent (for example, GED)
19-4071.00|Some College Courses
19-4092.00|Associate's Degree (or other 2-year degree)
19-4092.00|High School Diploma - or the equivalent (for example, GED)
19-4099.01|Associate's Degree (or other 2-year degree)
19-4099.01|Bachelor's Degree
19-4099.01|High School Diploma - or the equivalent (for example, GED)
19-4099.01|Less than a High School Diploma
19-4099.01|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
19-4099.01|Some College Courses
19-4099.03|Associate's Degree (or other 2-year degree)
19-4099.03|Bachelor's Degree
19-4099.03|High School Diploma - or the equivalent (for example, GED)
19-4099.03|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
19-4099.03|Some College Courses
21-1011.00|High School Diploma - or the equivalent (for example, GED)
21-1011.00|Master's Degree
21-1011.00|Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.
21-1012.00|High School Diploma - or the equivalent (for example, GED)
21-1012.00|Master's Degree
21-1013.00|First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.
21-1013.00|Master's Degree
21-1014.00|High School Diploma - or the equivalent (for example, GED)
21-1014.00|Master's Degree
21-1015.00|Bachelor's Degree
21-1015.00|High School Diploma - or the equivalent (for example, GED)
21-1015.00|Master's Degree
21-1021.00|Associate's Degree (or other 2-year degree)
21-1021.00|Bachelor's Degree
21-1021.00|Master's Degree
21-1023.00|Bachelor's Degree
21-1023.00|Master's Degree
21-1091.00|Associate's Degree (or other 2-year degree)
21-1091.00|Bachelor's Degree
21-1092.00|Associate's Degree (or other 2-year degree)
21-1092.00|Bachelor's Degree
21-1093.00|Associate's Degree (or other 2-year degree)
21-1093.00|Bachelor's Degree
21-1093.00|High School Diploma - or the equivalent (for example, GED)
21-1093.00|Master's Degree
21-1093.00|Some College Courses
21-1094.00|Associate's Degree (or other 2-year degree)
21-1094.00|High School Diploma - or the equivalent (for example, GED)
21-1094.00|Master's Degree
21-2011.00|Bachelor's Degree
21-2011.00|Master's Degree
21-2011.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
21-2021.00|Bachelor's Degree
21-2021.00|High School Diploma - or the equivalent (for example, GED)
21-2021.00|Master's Degree
23-1011.00|Doctoral Degree
23-1011.00|First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.
23-1012.00|Doctoral Degree
23-1012.00|First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.
23-1012.00|High School Diploma - or the equivalent (for example, GED)
23-1021.00|Associate's Degree (or other 2-year degree)
23-1021.00|Bachelor's Degree
23-1021.00|Doctoral Degree
23-1021.00|First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.
23-1021.00|Post-Doctoral Training
23-1021.00|Some College Courses
23-1023.00|Doctoral Degree
23-1023.00|First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.
23-1023.00|Post-Doctoral Training
23-2011.00|Associate's Degree (or other 2-year degree)
23-2011.00|Bachelor's Degree
23-2011.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
23-2093.00|Associate's Degree (or other 2-year degree)
23-2093.00|Bachelor's Degree
23-2093.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
25-1011.00|Bachelor's Degree
25-1011.00|Doctoral Degree
25-1011.00|Master's Degree
25-1021.00|Bachelor's Degree
25-1021.00|Doctoral Degree
25-1021.00|Master's Degree
25-1022.00|Bachelor's Degree
25-1022.00|Doctoral Degree
25-1022.00|Master's Degree
25-1022.00|Post-Doctoral Training
25-1031.00|Associate's Degree (or other 2-year degree)
25-1031.00|Bachelor's Degree
25-1031.00|Doctoral Degree
25-1031.00|First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.
25-1031.00|Master's Degree
25-1032.00|Master's Degree
25-1041.00|Doctoral Degree
25-1041.00|Master's Degree
25-1041.00|Post-Doctoral Training
25-1042.00|Doctoral Degree
25-1042.00|Master's Degree
25-1042.00|Post-Doctoral Training
25-1043.00|Post-Doctoral Training
25-1051.00|Doctoral Degree
25-1051.00|Master's Degree
25-1051.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
25-1051.00|Post-Doctoral Training
25-1052.00|Doctoral Degree
25-1052.00|Master's Degree
25-1052.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
25-1052.00|Post-Doctoral Training
25-1053.00|Doctoral Degree
25-1053.00|Master's Degree
25-1053.00|Post-Doctoral Training
25-1054.00|Doctoral Degree
25-1054.00|Master's Degree
25-1054.00|Post-Doctoral Training
25-1061.00|Doctoral Degree
25-1062.00|Doctoral Degree
25-1062.00|Master's Degree
25-1063.00|Doctoral Degree
25-1063.00|Master's Degree
25-1063.00|Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.
25-1064.00|Doctoral Degree
25-1064.00|Master's Degree
25-1064.00|Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.
